book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
697,182,8,19503,604,3,17,2017,47,5
1711,410,1,23418,341,2,50,2009,153,3
221,41,9,185,450,2,20,2006,97,3
988,276,5,25316,516,1,8,2013,109,2
656,217,7,10285,336,2,28,2006,185,3
573,139,6,9135,629,6,38,2017,163,6
727,136,2,17920,572,9,4,2021,64,1
781,445,10,22411,420,6,11,2006,190,3
1621,390,4,1508,621,9,16,2014,169,1
1953,239,9,40,462,7,50,2003,157,2
52,143,6,28821,685,4,28,2017,84,2
441,10,6,25492,601,9,20,2014,161,3
2560,280,3,6938,198,10,5,2014,100,4
2813,216,3,7239,114,2,35,2021,71,3
1244,64,4,8068,399,8,2,2000,133,3
632,163,9,21711,647,6,4,2013,190,4
1092,440,6,8358,93,3,40,2014,34,7
2204,416,1,24471,104,9,28,2010,81,2
2432,48,8,17718,654,3,33,2019,97,7
2883,199,4,25632,409,7,9,2004,57,2
1956,345,6,24392,200,8,8,2012,58,4
1494,221,9,3401,680,2,39,2005,111,3
524,157,9,1373,328,9,45,2011,154,7
2941,1,7,22084,431,4,13,2002,168,6
2458,224,8,26962,636,8,3,2002,39,3
2298,400,2,8695,382,9,46,2005,2,5
693,125,9,23244,239,3,39,2001,162,4
572,93,1,2546,555,1,48,2005,156,3
2670,287,1,20967,614,10,5,2013,197,5
1703,173,10,14195,608,3,6,2012,109,5
2862,426,9,5634,565,9,7,2014,117,7
1507,391,5,27521,320,5,36,2019,51,1
114,415,3,19706,231,10,39,2005,75,5
2606,222,4,17907,203,5,14,2000,81,4
2317,243,3,13355,607,6,20,2007,3,5
2630,105,9,6210,499,6,30,2002,80,4
2905,147,1,29411,213,7,16,2007,151,2
2303,47,10,15279,450,3,50,2003,37,7
2814,338,3,25729,270,4,18,2007,164,1
1336,286,6,19508,261,5,32,2020,85,6
1526,77,3,7614,374,8,5,2019,16,5
1295,450,9,18077,273,5,2,2013,127,2
187,448,6,28623,486,2,23,2006,65,2
2556,74,5,21785,675,6,50,2013,123,6
1943,196,9,6975,301,8,9,2008,78,2
1249,329,8,8454,251,1,36,2006,59,2
1858,393,1,20288,642,8,35,2014,38,7
1977,68,2,116,542,6,3,2018,99,4
2213,35,7,13856,408,4,49,2021,31,7
981,423,5,3431,179,6,5,2006,8,1
